Simulation of solar system over 100 years, with 1316134912 iterations, using perihelion´s method.
Time 	sun	 	mercury	 	
angle: 14.8633709	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.21583441e-05 , 0
angle: 14.9186626	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.22407731e-05 , 0
angle: 14.97395	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.23231956e-05 , 0
angle: 15.0292334	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.24056123e-05 , 0
angle: 15.0845121	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.24880219e-05 , 0
angle: 15.1397855	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.25704235e-05 , 0
angle: 15.1950547	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.2652819e-05 , 0
angle: 15.2503193	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.27352075e-05 , 0
angle: 15.3055803	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.28175909e-05 , 0
angle: 15.9948527	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.38451595e-05 , 0
angle: 16.0501051	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.392753e-05 , 0
angle: 16.1053525	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.40098929e-05 , 0
angle: 16.1605957	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.40922495e-05 , 0
angle: 16.2158349	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.41746003e-05 , 0
angle: 16.27107	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.42569448e-05 , 0
angle: 16.3262996	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.43392812e-05 , 0
angle: 16.3815251	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.44216116e-05 , 0
angle: 16.4367464	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.45039356e-05 , 0
angle: 16.4919641	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.45862542e-05 , 0
angle: 16.547177	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.46685657e-05 , 0
angle: 16.6023851	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.475087e-05 , 0
angle: 16.6575892	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.48331685e-05 , 0
angle: 17.3468041	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.58606514e-05 , 0
angle: 17.4019988	 distance: 0.3075	 Position(x,y,z): 0.307499999 , 2.59429359e-05 , 0
